2014-12-05 19:00:15,254 - root - INFO - Training....
2014-12-05 19:00:15,346 - gensim.models.word2vec - INFO - collecting all words and their counts
2014-12-05 19:00:19,343 - gensim.models.word2vec - DEBUG - putting job #46 in the queue, qsize=2
2014-12-05 19:00:19,354 - gensim.models.word2vec - DEBUG - putting job #47 in the queue, qsize=2
2014-12-05 19:00:19,366 - gensim.models.word2vec - DEBUG - putting job #48 in the queue, qsize=2
2014-12-05 19:00:19,377 - gensim.models.word2vec - DEBUG - putting job #49 in the queue, qsize=2
2014-12-05 19:00:19,392 - gensim.models.word2vec - DEBUG - putting job #50 in the queue, qsize=2
2014-12-05 19:00:19,402 - gensim.models.word2vec - DEBUG - putting job #51 in the queue, qsize=2
2014-12-05 19:00:19,412 - gensim.models.word2vec - DEBUG - putting job #52 in the queue, qsize=2
2014-12-05 19:00:19,423 - gensim.models.word2vec - DEBUG - putting job #53 in the queue, qsize=2
2014-12-05 19:00:19,433 - gensim.models.word2vec - DEBUG - putting job #54 in the queue, qsize=2
2014-12-05 19:00:19,444 - gensim.models.word2vec - DEBUG - putting job #55 in the queue, qsize=2
2014-12-05 19:00:19,456 - gensim.models.word2vec - DEBUG - putting job #56 in the queue, qsize=2
2014-12-05 19:00:19,471 - gensim.models.word2vec - DEBUG - putting job #57 in the queue, qsize=2
2014-12-05 19:00:19,483 - gensim.models.word2vec - DEBUG - putting job #58 in the queue, qsize=2
2014-12-05 19:00:19,495 - gensim.models.word2vec - DEBUG - putting job #59 in the queue, qsize=2
2014-12-05 19:00:19,509 - gensim.models.word2vec - DEBUG - putting job #60 in the queue, qsize=2
2014-12-05 19:00:19,520 - gensim.models.word2vec - DEBUG - putting job #61 in the queue, qsize=2
2014-12-05 19:00:19,531 - gensim.models.word2vec - DEBUG - putting job #62 in the queue, qsize=2
2014-12-05 19:00:19,543 - gensim.models.word2vec - DEBUG - putting job #63 in the queue, qsize=2
2014-12-05 19:00:19,553 - gensim.models.word2vec - DEBUG - putting job #64 in the queue, qsize=2
2014-12-05 19:00:19,568 - gensim.models.word2vec - DEBUG - putting job #65 in the queue, qsize=2
2014-12-05 19:00:19,578 - gensim.models.word2vec - DEBUG - putting job #66 in the queue, qsize=2
2014-12-05 19:00:19,589 - gensim.models.word2vec - DEBUG - putting job #67 in the queue, qsize=2
2014-12-05 19:00:19,601 - gensim.models.word2vec - DEBUG - putting job #68 in the queue, qsize=2
2014-12-05 19:00:19,612 - gensim.models.word2vec - DEBUG - putting job #69 in the queue, qsize=2
2014-12-05 19:00:19,622 - gensim.models.word2vec - DEBUG - putting job #70 in the queue, qsize=2
2014-12-05 19:00:19,631 - gensim.models.word2vec - DEBUG - putting job #71 in the queue, qsize=2
2014-12-05 19:00:19,641 - gensim.models.word2vec - DEBUG - putting job #72 in the queue, qsize=2
2014-12-05 19:00:19,653 - gensim.models.word2vec - DEBUG - putting job #73 in the queue, qsize=2
2014-12-05 19:00:19,662 - gensim.models.word2vec - DEBUG - putting job #74 in the queue, qsize=2
2014-12-05 19:00:19,673 - gensim.models.word2vec - DEBUG - putting job #75 in the queue, qsize=2
2014-12-05 19:00:19,685 - gensim.models.word2vec - DEBUG - putting job #76 in the queue, qsize=2
2014-12-05 19:00:19,696 - gensim.models.word2vec - DEBUG - putting job #77 in the queue, qsize=2
2014-12-05 19:00:19,709 - gensim.models.word2vec - DEBUG - putting job #78 in the queue, qsize=2
2014-12-05 19:00:19,719 - gensim.models.word2vec - DEBUG - putting job #79 in the queue, qsize=2
2014-12-05 19:00:19,729 - gensim.models.word2vec - DEBUG - putting job #80 in the queue, qsize=2
2014-12-05 19:00:19,741 - gensim.models.word2vec - DEBUG - putting job #81 in the queue, qsize=2
2014-12-05 19:00:19,753 - gensim.models.word2vec - DEBUG - putting job #82 in the queue, qsize=2
2014-12-05 19:00:19,764 - gensim.models.word2vec - DEBUG - putting job #83 in the queue, qsize=2
2014-12-05 19:00:19,775 - gensim.models.word2vec - DEBUG - putting job #84 in the queue, qsize=2
2014-12-05 19:00:19,784 - gensim.models.word2vec - DEBUG - putting job #85 in the queue, qsize=2
2014-12-05 19:00:19,792 - gensim.models.word2vec - INFO - PROGRESS: at 5.45% words, alpha 0.02365, 138812 words/s
2014-12-05 19:00:19,793 - gensim.models.word2vec - DEBUG - putting job #86 in the queue, qsize=2
2014-12-05 19:00:19,804 - gensim.models.word2vec - DEBUG - putting job #87 in the queue, qsize=2
2014-12-05 19:00:19,816 - gensim.models.word2vec - DEBUG - putting job #88 in the queue, qsize=2
2014-12-05 19:00:19,827 - gensim.models.word2vec - DEBUG - putting job #89 in the queue, qsize=2
2014-12-05 19:00:19,836 - gensim.models.word2vec - DEBUG - putting job #90 in the queue, qsize=2
2014-12-05 19:00:19,850 - gensim.models.word2vec - DEBUG - putting job #91 in the queue, qsize=2
2014-12-05 19:00:19,859 - gensim.models.word2vec - DEBUG - putting job #92 in the queue, qsize=2
2014-12-05 19:00:19,872 - gensim.models.word2vec - DEBUG - putting job #93 in the queue, qsize=2
2014-12-05 19:00:19,882 - gensim.models.word2vec - DEBUG - putting job #94 in the queue, qsize=2
2014-12-05 19:00:19,891 - gensim.models.word2vec - DEBUG - putting job #95 in the queue, qsize=2
2014-12-05 19:00:19,902 - gensim.models.word2vec - DEBUG - putting job #96 in the queue, qsize=2
2014-12-05 19:00:19,914 - gensim.models.word2vec - DEBUG - putting job #97 in the queue, qsize=2
2014-12-05 19:00:19,924 - gensim.models.word2vec - DEBUG - putting job #98 in the queue, qsize=2
2014-12-05 19:00:19,937 - gensim.models.word2vec - DEBUG - putting job #99 in the queue, qsize=2
2014-12-05 19:00:19,948 - gensim.models.word2vec - DEBUG - putting job #100 in the queue, qsize=2
2014-12-05 19:00:19,959 - gensim.models.word2vec - DEBUG - putting job #101 in the queue, qsize=2
2014-12-05 19:00:19,971 - gensim.models.word2vec - DEBUG - putting job #102 in the queue, qsize=2
2014-12-05 19:00:19,987 - gensim.models.word2vec - DEBUG - putting job #103 in the queue, qsize=2
2014-12-05 19:00:19,997 - gensim.models.word2vec - DEBUG - putting job #104 in the queue, qsize=2
2014-12-05 19:00:20,007 - gensim.models.word2vec - DEBUG - putting job #105 in the queue, qsize=2
2014-12-05 19:00:20,016 - gensim.models.word2vec - DEBUG - putting job #106 in the queue, qsize=2
2014-12-05 19:00:20,025 - gensim.models.word2vec - DEBUG - putting job #107 in the queue, qsize=2
2014-12-05 19:00:20,035 - gensim.models.word2vec - DEBUG - putting job #108 in the queue, qsize=2
2014-12-05 19:00:20,047 - gensim.models.word2vec - DEBUG - putting job #109 in the queue, qsize=2
2014-12-05 19:00:20,057 - gensim.models.word2vec - DEBUG - putting job #110 in the queue, qsize=2
2014-12-05 19:00:20,068 - gensim.models.word2vec - DEBUG - putting job #111 in the queue, qsize=2
2014-12-05 19:00:20,079 - gensim.models.word2vec - DEBUG - putting job #112 in the queue, qsize=2
2014-12-05 19:00:20,091 - gensim.models.word2vec - DEBUG - putting job #113 in the queue, qsize=2
2014-12-05 19:00:20,102 - gensim.models.word2vec - DEBUG - putting job #114 in the queue, qsize=2
2014-12-05 19:00:20,112 - gensim.models.word2vec - DEBUG - putting job #115 in the queue, qsize=2
2014-12-05 19:00:20,121 - gensim.models.word2vec - DEBUG - putting job #116 in the queue, qsize=2
2014-12-05 19:00:20,130 - gensim.models.word2vec - DEBUG - putting job #117 in the queue, qsize=2
2014-12-05 19:00:20,142 - gensim.models.word2vec - DEBUG - putting job #118 in the queue, qsize=2
2014-12-05 19:00:20,151 - gensim.models.word2vec - DEBUG - putting job #119 in the queue, qsize=2
2014-12-05 19:00:20,160 - gensim.models.word2vec - DEBUG - putting job #120 in the queue, qsize=2
2014-12-05 19:00:20,170 - gensim.models.word2vec - DEBUG - putting job #121 in the queue, qsize=2
2014-12-05 19:00:20,182 - gensim.models.word2vec - DEBUG - putting job #122 in the queue, qsize=2
2014-12-05 19:00:20,194 - gensim.models.word2vec - DEBUG - putting job #123 in the queue, qsize=2
2014-12-05 19:00:20,206 - gensim.models.word2vec - DEBUG - putting job #124 in the queue, qsize=2
2014-12-05 19:00:20,218 - gensim.models.word2vec - DEBUG - putting job #125 in the queue, qsize=2
2014-12-05 19:00:20,229 - gensim.models.word2vec - DEBUG - putting job #126 in the queue, qsize=2
2014-12-05 19:00:20,239 - gensim.models.word2vec - DEBUG - putting job #127 in the queue, qsize=2
2014-12-05 19:00:20,251 - gensim.models.word2vec - DEBUG - putting job #128 in the queue, qsize=2
2014-12-05 19:00:20,262 - gensim.models.word2vec - DEBUG - putting job #129 in the queue, qsize=2
2014-12-05 19:00:20,274 - gensim.models.word2vec - DEBUG - putting job #130 in the queue, qsize=2
2014-12-05 19:00:20,283 - gensim.models.word2vec - DEBUG - putting job #131 in the queue, qsize=2
2014-12-05 19:00:20,294 - gensim.models.word2vec - DEBUG - putting job #132 in the queue, qsize=2
2014-12-05 19:00:20,305 - gensim.models.word2vec - DEBUG - putting job #133 in the queue, qsize=2
2014-12-05 19:00:20,318 - gensim.models.word2vec - DEBUG - putting job #134 in the queue, qsize=2
2014-12-05 19:00:20,329 - gensim.models.word2vec - DEBUG - putting job #135 in the queue, qsize=2
2014-12-05 19:00:20,341 - gensim.models.word2vec - DEBUG - putting job #136 in the queue, qsize=2
2014-12-05 19:00:20,352 - gensim.models.word2vec - DEBUG - putting job #137 in the queue, qsize=2
2014-12-05 19:00:20,363 - gensim.models.word2vec - DEBUG - putting job #138 in the queue, qsize=2
2014-12-05 19:00:20,375 - gensim.models.word2vec - DEBUG - putting job #139 in the queue, qsize=2
2014-12-05 19:00:20,385 - gensim.models.word2vec - DEBUG - putting job #140 in the queue, qsize=2
2014-12-05 19:00:20,397 - gensim.models.word2vec - DEBUG - putting job #141 in the queue, qsize=2
2014-12-05 19:00:20,408 - gensim.models.word2vec - DEBUG - putting job #142 in the queue, qsize=2
2014-12-05 19:00:20,419 - gensim.models.word2vec - DEBUG - putting job #143 in the queue, qsize=2
2014-12-05 19:00:20,429 - gensim.models.word2vec - DEBUG - putting job #144 in the queue, qsize=2
2014-12-05 19:00:20,442 - gensim.models.word2vec - DEBUG - putting job #145 in the queue, qsize=2
2014-12-05 19:00:20,452 - gensim.models.word2vec - DEBUG - putting job #146 in the queue, qsize=2
2014-12-05 19:00:20,462 - gensim.models.word2vec - DEBUG - putting job #147 in the queue, qsize=2
2014-12-05 19:00:20,475 - gensim.models.word2vec - DEBUG - putting job #148 in the queue, qsize=2
2014-12-05 19:00:20,486 - gensim.models.word2vec - DEBUG - putting job #149 in the queue, qsize=2
2014-12-05 19:00:20,498 - gensim.models.word2vec - DEBUG - putting job #150 in the queue, qsize=2
2014-12-05 19:00:20,512 - gensim.models.word2vec - DEBUG - putting job #151 in the queue, qsize=2
2014-12-05 19:00:20,524 - gensim.models.word2vec - DEBUG - putting job #152 in the queue, qsize=2
2014-12-05 19:00:20,536 - gensim.models.word2vec - DEBUG - putting job #153 in the queue, qsize=2
2014-12-05 19:00:20,551 - gensim.models.word2vec - DEBUG - putting job #154 in the queue, qsize=2
2014-12-05 19:00:20,560 - gensim.models.word2vec - DEBUG - putting job #155 in the queue, qsize=2
2014-12-05 19:00:20,573 - gensim.models.word2vec - DEBUG - putting job #156 in the queue, qsize=2
2014-12-05 19:00:20,585 - gensim.models.word2vec - DEBUG - putting job #157 in the queue, qsize=2
2014-12-05 19:00:20,596 - gensim.models.word2vec - DEBUG - putting job #158 in the queue, qsize=2
2014-12-05 19:00:20,606 - gensim.models.word2vec - DEBUG - putting job #159 in the queue, qsize=2
2014-12-05 19:00:20,617 - gensim.models.word2vec - DEBUG - putting job #160 in the queue, qsize=2
2014-12-05 19:00:20,629 - gensim.models.word2vec - DEBUG - putting job #161 in the queue, qsize=2
2014-12-05 19:00:20,641 - gensim.models.word2vec - DEBUG - putting job #162 in the queue, qsize=2
2014-12-05 19:00:20,652 - gensim.models.word2vec - DEBUG - putting job #163 in the queue, qsize=2
2014-12-05 19:00:20,661 - gensim.models.word2vec - DEBUG - putting job #164 in the queue, qsize=2
2014-12-05 19:00:20,671 - gensim.models.word2vec - DEBUG - putting job #165 in the queue, qsize=2
2014-12-05 19:00:20,686 - gensim.models.word2vec - DEBUG - putting job #166 in the queue, qsize=2
2014-12-05 19:00:20,701 - gensim.models.word2vec - DEBUG - putting job #167 in the queue, qsize=2
2014-12-05 19:00:20,712 - gensim.models.word2vec - DEBUG - putting job #168 in the queue, qsize=2
2014-12-05 19:00:20,724 - gensim.models.word2vec - DEBUG - putting job #169 in the queue, qsize=2
2014-12-05 19:00:20,735 - gensim.models.word2vec - DEBUG - putting job #170 in the queue, qsize=2
2014-12-05 19:00:20,747 - gensim.models.word2vec - DEBUG - putting job #171 in the queue, qsize=2
2014-12-05 19:00:20,758 - gensim.models.word2vec - DEBUG - putting job #172 in the queue, qsize=2
2014-12-05 19:00:20,770 - gensim.models.word2vec - DEBUG - putting job #173 in the queue, qsize=2
2014-12-05 19:00:20,780 - gensim.models.word2vec - DEBUG - putting job #174 in the queue, qsize=2
2014-12-05 19:00:20,792 - gensim.models.word2vec - DEBUG - putting job #175 in the queue, qsize=2
2014-12-05 19:00:20,805 - gensim.models.word2vec - INFO - PROGRESS: at 11.44% words, alpha 0.02216, 144869 words/s
2014-12-05 19:00:20,808 - gensim.models.word2vec - DEBUG - putting job #176 in the queue, qsize=2
2014-12-05 19:00:20,820 - gensim.models.word2vec - DEBUG - putting job #177 in the queue, qsize=2
2014-12-05 19:00:20,831 - gensim.models.word2vec - DEBUG - putting job #178 in the queue, qsize=2
2014-12-05 19:00:20,843 - gensim.models.word2vec - DEBUG - putting job #179 in the queue, qsize=2
2014-12-05 19:00:20,855 - gensim.models.word2vec - DEBUG - putting job #180 in the queue, qsize=2
2014-12-05 19:00:20,865 - gensim.models.word2vec - DEBUG - putting job #181 in the queue, qsize=2
2014-12-05 19:00:20,878 - gensim.models.word2vec - DEBUG - putting job #182 in the queue, qsize=2
2014-12-05 19:00:20,891 - gensim.models.word2vec - DEBUG - putting job #183 in the queue, qsize=2
2014-12-05 19:00:20,904 - gensim.models.word2vec - DEBUG - putting job #184 in the queue, qsize=2
2014-12-05 19:00:20,915 - gensim.models.word2vec - DEBUG - putting job #185 in the queue, qsize=2
2014-12-05 19:00:20,927 - gensim.models.word2vec - DEBUG - putting job #186 in the queue, qsize=2
2014-12-05 19:00:20,940 - gensim.models.word2vec - DEBUG - putting job #187 in the queue, qsize=2
2014-12-05 19:00:20,953 - gensim.models.word2vec - DEBUG - putting job #188 in the queue, qsize=2
2014-12-05 19:00:20,965 - gensim.models.word2vec - DEBUG - putting job #189 in the queue, qsize=2
2014-12-05 19:00:20,975 - gensim.models.word2vec - DEBUG - putting job #190 in the queue, qsize=2
2014-12-05 19:00:20,987 - gensim.models.word2vec - DEBUG - putting job #191 in the queue, qsize=2
2014-12-05 19:00:20,999 - gensim.models.word2vec - DEBUG - putting job #192 in the queue, qsize=2
2014-12-05 19:00:21,013 - gensim.models.word2vec - DEBUG - putting job #193 in the queue, qsize=2
2014-12-05 19:00:21,026 - gensim.models.word2vec - DEBUG - putting job #194 in the queue, qsize=2
2014-12-05 19:00:21,036 - gensim.models.word2vec - DEBUG - putting job #195 in the queue, qsize=2
2014-12-05 19:00:21,047 - gensim.models.word2vec - DEBUG - putting job #196 in the queue, qsize=2
2014-12-05 19:00:21,057 - gensim.models.word2vec - DEBUG - putting job #197 in the queue, qsize=2
2014-12-05 19:00:21,069 - gensim.models.word2vec - DEBUG - putting job #198 in the queue, qsize=2
2014-12-05 19:00:21,081 - gensim.models.word2vec - DEBUG - putting job #199 in the queue, qsize=2
2014-12-05 19:00:21,093 - gensim.models.word2vec - DEBUG - putting job #200 in the queue, qsize=2
2014-12-05 19:00:21,105 - gensim.models.word2vec - DEBUG - putting job #201 in the queue, qsize=2
2014-12-05 19:00:21,117 - gensim.models.word2vec - DEBUG - putting job #202 in the queue, qsize=2
2014-12-05 19:00:21,129 - gensim.models.word2vec - DEBUG - putting job #203 in the queue, qsize=2
2014-12-05 19:00:21,141 - gensim.models.word2vec - DEBUG - putting job #204 in the queue, qsize=2
2014-12-05 19:00:21,151 - gensim.models.word2vec - DEBUG - putting job #205 in the queue, qsize=2
2014-12-05 19:00:21,162 - gensim.models.word2vec - DEBUG - putting job #206 in the queue, qsize=2
2014-12-05 19:00:21,174 - gensim.models.word2vec - DEBUG - putting job #207 in the queue, qsize=2
2014-12-05 19:00:21,185 - gensim.models.word2vec - DEBUG - putting job #208 in the queue, qsize=2
2014-12-05 19:00:21,197 - gensim.models.word2vec - DEBUG - putting job #209 in the queue, qsize=2
2014-12-05 19:00:21,209 - gensim.models.word2vec - DEBUG - putting job #210 in the queue, qsize=2
2014-12-05 19:00:21,220 - gensim.models.word2vec - DEBUG - putting job #211 in the queue, qsize=2
2014-12-05 19:00:21,229 - gensim.models.word2vec - DEBUG - putting job #212 in the queue, qsize=2
2014-12-05 19:00:21,238 - gensim.models.word2vec - DEBUG - putting job #213 in the queue, qsize=2
2014-12-05 19:00:21,249 - gensim.models.word2vec - DEBUG - putting job #214 in the queue, qsize=2
2014-12-05 19:00:21,257 - gensim.models.word2vec - DEBUG - putting job #215 in the queue, qsize=2
2014-12-05 19:00:21,267 - gensim.models.word2vec - DEBUG - putting job #216 in the queue, qsize=2
2014-12-05 19:00:21,277 - gensim.models.word2vec - DEBUG - putting job #217 in the queue, qsize=2
2014-12-05 19:00:21,287 - gensim.models.word2vec - DEBUG - putting job #218 in the queue, qsize=2
2014-12-05 19:00:21,298 - gensim.models.word2vec - DEBUG - putting job #219 in the queue, qsize=2
2014-12-05 19:00:21,311 - gensim.models.word2vec - DEBUG - putting job #220 in the queue, qsize=2
2014-12-05 19:00:21,324 - gensim.models.word2vec - DEBUG - putting job #221 in the queue, qsize=2
2014-12-05 19:00:21,335 - gensim.models.word2vec - DEBUG - putting job #222 in the queue, qsize=2
2014-12-05 19:00:21,345 - gensim.models.word2vec - DEBUG - putting job #223 in the queue, qsize=2
2014-12-05 19:00:21,357 - gensim.models.word2vec - DEBUG - putting job #224 in the queue, qsize=2
2014-12-05 19:00:21,373 - gensim.models.word2vec - DEBUG - putting job #225 in the queue, qsize=2
2014-12-05 19:00:21,383 - gensim.models.word2vec - DEBUG - putting job #226 in the queue, qsize=2
2014-12-05 19:00:21,399 - gensim.models.word2vec - DEBUG - putting job #227 in the queue, qsize=2
2014-12-05 19:00:21,412 - gensim.models.word2vec - DEBUG - putting job #228 in the queue, qsize=2
2014-12-05 19:00:21,424 - gensim.models.word2vec - DEBUG - putting job #229 in the queue, qsize=2
2014-12-05 19:00:21,436 - gensim.models.word2vec - DEBUG - putting job #230 in the queue, qsize=2
2014-12-05 19:00:21,452 - gensim.models.word2vec - DEBUG - putting job #231 in the queue, qsize=2
2014-12-05 19:00:21,468 - gensim.models.word2vec - DEBUG - putting job #232 in the queue, qsize=2
2014-12-05 19:00:21,480 - gensim.models.word2vec - DEBUG - putting job #233 in the queue, qsize=2
2014-12-05 19:00:21,491 - gensim.models.word2vec - DEBUG - putting job #234 in the queue, qsize=2
2014-12-05 19:00:21,501 - gensim.models.word2vec - DEBUG - putting job #235 in the queue, qsize=2
2014-12-05 19:00:21,517 - gensim.models.word2vec - DEBUG - putting job #236 in the queue, qsize=2
2014-12-05 19:00:21,529 - gensim.models.word2vec - DEBUG - putting job #237 in the queue, qsize=2
2014-12-05 19:00:21,541 - gensim.models.word2vec - DEBUG - putting job #238 in the queue, qsize=2
2014-12-05 19:00:21,553 - gensim.models.word2vec - DEBUG - putting job #239 in the queue, qsize=2
2014-12-05 19:00:21,565 - gensim.models.word2vec - DEBUG - putting job #240 in the queue, qsize=2
2014-12-05 19:00:21,586 - gensim.models.word2vec - DEBUG - putting job #241 in the queue, qsize=2
2014-12-05 19:00:21,595 - gensim.models.word2vec - DEBUG - putting job #242 in the queue, qsize=2
2014-12-05 19:00:21,609 - gensim.models.word2vec - DEBUG - putting job #243 in the queue, qsize=2
2014-12-05 19:00:21,622 - gensim.models.word2vec - DEBUG - putting job #244 in the queue, qsize=2
2014-12-05 19:00:21,634 - gensim.models.word2vec - DEBUG - putting job #245 in the queue, qsize=2
2014-12-05 19:00:21,644 - gensim.models.word2vec - DEBUG - putting job #246 in the queue, qsize=2
2014-12-05 19:00:21,657 - gensim.models.word2vec - DEBUG - putting job #247 in the queue, qsize=2
2014-12-05 19:00:21,677 - gensim.models.word2vec - DEBUG - putting job #248 in the queue, qsize=2
